    3366  ! number of record (species) in the file
GGN600L   320.04
GPN600S   386.34
GND500I   349.93
GND600n   350.37
GGN600g   360.99
GND3003   435.64
GGN3004   463.37
GPN3004   611.96
GNN400H   460.27
GHN400P   367.50
GGN500I   365.12
GPN500Z   450.04
GND400B   429.00
GGN400H   447.91
GPN400I   572.14
GNN600c   429.69
GNN500i   444.47
GHN500y   365.12
GPN600n   433.72
GND500X   420.34
GND600y   410.62
GHN400a   357.37
GNU4001   330.71
GHH300a   379.66
GHN300E   351.93
GHN300H   351.93
GNU3000   309.84
GNU4004   330.71
GEH2000   244.69
GHH300c   286.62
GHH300d   277.62
GPH300F   409.05
GHH2004   380.47
GHH2002   256.58
GHH300L   324.52
GHH300U   272.42
GHH5016   289.37
GHD4008   260.40
GPH400B   336.84
GHH300O   335.52
GHN500a   293.48
GHN500Z   365.55
GHH500l   299.70
GHH400K   293.85
GHN500A   286.42
GGH500G   299.70
GPH500W   370.59
GHN400J   320.32
GPH400Z   424.35
GHN5015   324.11
GHH5015   300.01
GHH400G   286.41
GHH500G   277.08
GPH500U   305.26
GPH601M   306.63
GHH400H   275.93
GPH400b   343.76
GHH501X   290.94
GHH3008   255.61
GPH500l   370.59
GHH500h   288.08
GHH500H   277.08
GPH500d   305.26
GPH600F   276.70
GHD600N   249.10
GHD5003   244.75
GGH5002   277.08
GPH5004   293.48
GGH600g   291.79
GPH600G   298.15
GHD4005   241.40
GGH4004   275.93
GPH4005   329.09
GHH500d   277.08
GGH600Y   291.79
GHD500J   264.11
GHD3004   240.24
GGH3006   277.62
GPH3003   390.66
GHH400k   275.93
GPH6018   302.60
GHD500S   264.11
GPH501P   330.33
GHD400F   263.81
GPH400Y   384.02
GHD500b   280.68
GHH2003   396.79
GHH300J   431.92
GHH300P   335.52
GGH500R   299.70
GPH500f   370.59
GHN400X   320.32
GHH300M   440.61
GGH601O   380.85
GPH601L   377.72
GPH501B   422.55
GHN400L   411.16
